dev;sleepings;hibernatings;deads
simonharrer;[84, 21, 10, 10, 12, 13, 15, 121, 55, 132, 158, 107];[21, 83, 34, 41, 115, 111];[2188]
tobiasdiez;[65, 55, 12, 18, 44, 36, 18, 11, 7, 8, 13, 23, 20, 10, 10, 7, 11, 23, 27, 33, 1985];[28, 54, 95];[]
koppor;[115, 59, 34, 11, 11, 12, 13, 21, 11, 9, 7, 10, 27, 22, 24, 23, 19, 10, 8, 10, 15, 129, 40, 111];[];[490, 389, 1975]
matthiasgeiger;[40, 28, 13, 18, 25, 23, 21, 27, 72, 507, 1992];[];[]
lenhard;[22, 26, 23, 26, 42, 27, 21, 16, 28, 80, 25, 25, 172, 49, 96];[308, 52, 47];[1990]
hakova;[364, 120, 80, 2202, 90];[98, 199, 202, 138, 338, 84];[]
chriba;[85, 36, 28, 24, 20, 12, 47];[21, 15, 38];[2767]
LinusDietz;[24, 54, 34, 43, 2016];[21, 45];[]
Siedlerchr;[35, 25, 16, 22, 17, 10, 7, 12, 7, 7, 9, 25, 16, 13, 12, 42, 15, 1976];[];[]
stefan-kolb;[19, 29, 40, 27, 18, 44, 28, 27, 27, 74, 25, 176, 134, 1978];[32];[]
oscargus;[18, 8, 33, 29, 13, 24, 77, 62, 121, 17, 39, 108, 60];[262, 17, 26, 18, 18, 24];[2078]
mlep;[44, 36, 33, 11, 8, 16, 9, 30, 79, 339, 100];[13, 84];[2006]
