id,date,creator_login
499396301,2019-06-06 08:17:07,josevalim
499768383,2019-06-07 06:05:56,josevalim
500442020,2019-06-10 14:41:38,josevalim
500475536,2019-06-10 16:07:14,josevalim
503677589,2019-06-19 18:30:25,josevalim
483334357,2019-04-15 16:58:29,josevalim
463672768,2019-02-14 15:36:36,josevalim
463512619,2019-02-14 06:50:16,josevalim
462947911,2019-02-12 21:43:44,josevalim
462972582,2019-02-12 22:55:17,josevalim
460716518,2019-02-05 16:58:23,josevalim
460744263,2019-02-05 18:13:26,josevalim
460962535,2019-02-06 09:51:48,josevalim
461062129,2019-02-06 15:22:12,josevalim
461139164,2019-02-06 18:44:40,josevalim
459902712,2019-02-01 23:25:10,josevalim
459906093,2019-02-01 23:42:35,josevalim
428628197,2018-10-10 15:55:40,josevalim
394487141,2018-06-04 20:25:32,josevalim
394436160,2018-06-04 17:33:57,josevalim
367244579,2018-02-21 08:09:28,josevalim
302485692,2017-05-18 17:36:49,josevalim
256668815,2016-10-27 15:07:05,josevalim
234482874,2016-07-22 08:18:47,josevalim
228592107,2016-06-26 09:21:24,josevalim
228518455,2016-06-25 07:14:27,josevalim
228550950,2016-06-25 15:35:06,josevalim
228562122,2016-06-25 17:55:17,josevalim
228562193,2016-06-25 17:56:49,josevalim
227137093,2016-06-20 13:09:17,josevalim
227075868,2016-06-20 08:07:40,josevalim
221285822,2016-05-24 14:19:07,josevalim
219299789,2016-05-15 17:43:51,josevalim
219292986,2016-05-15 15:41:48,josevalim
219292998,2016-05-15 15:42:08,josevalim
219293887,2016-05-15 15:56:58,josevalim
